paper_id,award,venue,category
259165546,Outstanding Paper Award,ACL,Outstanding Paper
237513464,Resource Award,ACL,Best Thematic/Resource/Impact Paper
260669688,Area Chair Award (Semantics: Lexical),ACL,Area Chair/SAC Award
252222308,Best Paper Award,ACL,Best Overall Paper
258832427,Area Chair Award (Multilingualism and Cross-Lingual NLP),ACL,Area Chair/SAC Award
259370615,Outstanding Paper Award,ACL,Outstanding Paper
258960243,Social Impact Award,ACL,Best Thematic/Resource/Impact Paper
259370570,Area Chair Award (Linguistic Diversity),ACL,Area Chair/SAC Award
258865935,Outstanding Paper Award,ACL,Outstanding Paper
259370557,Outstanding Paper Award,ACL,Outstanding Paper
258832431,"Area Chair Award (Linguistic Theories, Cognitive Modeling, and Psycholinguistics)",ACL,Area Chair/SAC Award
258480179,Area Chair Award (Interpretability and Analysis of Models for NLP),ACL,Area Chair/SAC Award
258564677,Outstanding Paper Award,ACL,Outstanding Paper
259342823,Outstanding Paper Award,ACL,Outstanding Paper
254853929,Outstanding Paper Award,ACL,Outstanding Paper
258461058,Outstanding Paper Award,ACL,Outstanding Paper
252780146,Best Paper Award,ACL,Best Overall Paper
254853878,Outstanding Paper Award,ACL,Outstanding Paper
258588286,Outstanding Paper Award,ACL,Outstanding Paper
258480238,Outstanding Paper Award,ACL,Outstanding Paper
259327452,Outstanding Paper Award,ACL,Outstanding Paper
259370775,Outstanding Paper Award,ACL,Outstanding Paper
258741304,Area Chair Award (NLP Applications),ACL,Area Chair/SAC Award
258947587,"Area Chair Award (Semantics: Sentence-level Semantics, Textual Inference, and Other Areas)",ACL,Area Chair/SAC Award
254854404,Reproduction Award,ACL,Reproduction Award
259076120,Outstanding Paper Award,ACL,Outstanding Paper
258480165,Outstanding Paper Award,ACL,Outstanding Paper
253447228,Area Chair Award (Question Answering),ACL,Area Chair/SAC Award
254926784,Outstanding Paper Award,ACL,Outstanding Paper
258686693,Best Paper Award,ACL,Best Overall Paper
259370885,Outstanding Paper Award,ACL,Outstanding Paper
258480084,Outstanding Paper Award,ACL,Outstanding Paper
259360822,Outstanding Paper Award,ACL,Outstanding Paper
254926545,Area Chair Award (Discourse and Pragmatics),ACL,Area Chair/SAC Award
259187788,Outstanding Paper Award,ACL,Outstanding Paper
258546692,Outstanding Paper Award,ACL,Outstanding Paper
258686286,Outstanding Paper Award,ACL,Outstanding Paper
259370577,Outstanding Paper Award,ACL,Outstanding Paper
254877237,Outstanding Paper Award,ACL,Outstanding Paper
258959081,Outstanding Paper Award,ACL,Outstanding Paper
258865166,Outstanding Paper Award,ACL,Outstanding Paper
258999153,Outstanding Paper Award,ACL,Outstanding Paper
258822815,Outstanding Paper Award,ACL,Outstanding Paper
258959063,Theme Paper Award,ACL,Best Thematic/Resource/Impact Paper
258959063,Outstanding Paper Award,ACL,Outstanding Paper
258947507,Outstanding Paper Award,ACL,Outstanding Paper
259370678,Area Chair Award (Resources and Evaluation),ACL,Area Chair/SAC Award
251903643,"Area Chair Award (Sentiment Analysis, Stylistic Analysis, and Argument Mining)",ACL,Area Chair/SAC Award
259202515,Area Chair Award (Speech and Multimodality),ACL,Area Chair/SAC Award
259370835,Outstanding Paper Award,ACL,Outstanding Paper
254685798,Outstanding Paper Award,ACL,Outstanding Paper
259370603,Outstanding Paper Award,ACL,Outstanding Paper
254043861,Outstanding Paper Award,ACL,Outstanding Paper
252968208,Outstanding Paper Award,ACL,Outstanding Paper
259129795,Outstanding Paper Award,ACL,Outstanding Paper
259370564,Outstanding Paper Award,ACL,Outstanding Paper
259137574,Outstanding Paper Award,ACL,Outstanding Paper
257427614,Demo Track: Outstanding Paper Award,ACL,Best Demo Paper
259360898,Demo Track: Best Paper Award,ACL,Best Demo Paper
257505127,Demo Track: Outstanding Paper Award,ACL,Best Demo Paper
259370734,SRW Best Paper Award,ACL,SRW Best Paper Award
259370796,SRW Best Paper Award,ACL,SRW Best Paper Award
259370726,SRW Best Paper Award,ACL,SRW Best Paper Award
248780263,Outstanding Paper,ACL,Outstanding Paper
248780232,Best Paper,ACL,Best Overall Paper
247996685,Outstanding Paper,ACL,Outstanding Paper
248780266,Best Resource Paper,ACL,Best Thematic/Resource/Impact Paper
247593909,Outstanding Paper,ACL,Outstanding Paper
247475840,Best Linguistic Insight Paper,ACL,Specific Contribution Award
248218448,Outstanding Paper,ACL,Outstanding Paper
248779879,Best Special Theme Paper,ACL,Best Thematic/Resource/Impact Paper
248178205,Outstanding Paper,ACL,Outstanding Paper
245218415,Outstanding Paper,ACL,Outstanding Paper
233296494,Outstanding Paper,ACL,Outstanding Paper
237251508,Outstanding Paper,ACL,Outstanding Paper
235742735,Outstanding Paper,ACL,Outstanding Paper
235694265,Outstanding Paper,ACL,Outstanding Paper
235670210,Outstanding Paper,ACL,Outstanding Paper
235166182,Outstanding Paper,ACL,Outstanding Paper
229371560,Outstanding Paper,ACL,Outstanding Paper
230435766,Outstanding Paper,ACL,Outstanding Paper
234358053,Best Theme Paper,ACL,Best Thematic/Resource/Impact Paper
235377446,Best Paper,ACL,Best Overall Paper
237650704,Best Demonstration Runner-up,ACL,Honorable Mention
233219948,Best Demonstration Paper,ACL,Best Demo Paper
218551201,Best Overall Paper,ACL,Best Overall Paper
219573654,Honorable Mention for Best Overall Paper,ACL,Honorable Mention
211029226,Best Theme Paper,ACL,Best Thematic/Resource/Impact Paper
218487293,Honorable Mention for Best Theme Paper,ACL,Honorable Mention
216080466,Honorable Mention for Best Overall Paper,ACL,Honorable Mention
218551030,Best Demonstration Paper,ACL,Best Demo Paper
218596129,Honorable Mention for Best Demonstration Paper,ACL,Honorable Mention
211011336,Honorable Mention for Best Demonstration Paper,ACL,Honorable Mention
222141794,Honorable Mention Paper,EMNLP,Honorable Mention
222134185,Honorable Mention Paper,EMNLP,Honorable Mention
221971028,Honorable Mention Paper,EMNLP,Honorable Mention
221739295,Honorable Mention Paper,EMNLP,Honorable Mention
222177767,Best Paper,EMNLP,Best Overall Paper
279181686,Honorable Demonstration Paper,EMNLP,Honorable Mention
250390622,Honorable mention for contributions to resources,NAACL,Honorable Mention
250390431,Best paper on human-centered NLP special theme,NAACL,Best Thematic/Resource/Impact Paper
249848230,Best new task (tied) and new resource paper,NAACL,Specific Contribution Award
249848230,Honorable mention for contribution to special theme on human-centered NLP,NAACL,Honorable Mention
245218671,Best new method paper,NAACL,Specific Contribution Award
245218924,Best new task paper (tied),NAACL,Specific Contribution Award
234336004,Best efficient NLP paper,NAACL,Specific Contribution Award
248571771,Honorable mention for contribution to methods,NAACL,Honorable Mention
235097227,Outstanding Long Paper,NAACL,Outstanding Paper
232222259,Best Thematic Paper,NAACL,Best Thematic/Resource/Impact Paper
233204311,Best Long Paper,NAACL,Best Overall Paper
221703107,Outstanding Long Paper,NAACL,Outstanding Paper
232233408,Outstanding Short Paper,NAACL,Outstanding Paper
233231453,Best Short Paper,NAACL,Best Short Paper
220280987,Best Demo Paper,NAACL,Best Demo Paper
233033716,Best Industry Paper,NAACL,Specific Contribution Award
266998777,Outstanding Paper Award,ACL,Outstanding Paper
268248534,SAC Award: Resources and Evaluation,ACL,Area Chair/SAC Award
266844925,"SAC Award: Multimodality and Language Grounding to Vision, Robotics and Beyond",ACL,Area Chair/SAC Award
271923530,SAC Award: Discourse and Pragmatics,ACL,Area Chair/SAC Award
269626329,"SAC Award: Semantics(Sentence-level Semantics, Textual Inference and Other areas)",ACL,Area Chair/SAC Award
268091174,SAC Award: Summarization,ACL,Area Chair/SAC Award
266977395,Best Social Impact Paper Award,ACL,Best Thematic/Resource/Impact Paper
259991740,Outstanding Paper Award,ACL,Outstanding Paper
268513057,Best Social Impact Paper Award,ACL,Best Thematic/Resource/Impact Paper
271947285,Outstanding Paper Award,ACL,Outstanding Paper
267626988,SAC Award: Semantics(Lexical),ACL,Area Chair/SAC Award
267760154,Outstanding Paper Award,ACL,Outstanding Paper
267760154,SAC Award: Interpretability and Analysis of Models for NLP,ACL,Area Chair/SAC Award
267365203,Outstanding Paper Award,ACL,Outstanding Paper
267365203,SAC Award: Question Answering,ACL,Area Chair/SAC Award
266977085,Best Paper Award,ACL,Best Overall Paper
270371893,Best Paper Award,ACL,Best Overall Paper
267751480,Outstanding Paper Award,ACL,Outstanding Paper
267751480,SAC Award: Machine Translation,ACL,Area Chair/SAC Award
272336894,Outstanding Paper Award,ACL,Outstanding Paper
269157210,SAC Award: Information Retrieval and Text Mining,ACL,Area Chair/SAC Award
268793892,Best Resource Paper Award,ACL,Best Thematic/Resource/Impact Paper
267682011,Best Paper Award,ACL,Best Overall Paper
267682011,SAC Award: Machine Learning for NLP,ACL,Area Chair/SAC Award
268253688,Outstanding Paper Award,ACL,Outstanding Paper
259075813,Outstanding Paper Award,ACL,Outstanding Paper
268201785,"SAC Award: Syntax(Tagging, Chunking and Parsing)",ACL,Area Chair/SAC Award
267069372,Outstanding Paper Award,ACL,Outstanding Paper
267759569,Outstanding Paper Award,ACL,Outstanding Paper
272336895,Best Paper Award,ACL,Best Overall Paper
268032377,Outstanding Paper Award,ACL,Outstanding Paper
270562338,SAC Award: Multilinguality and Language Diversity,ACL,Area Chair/SAC Award
267897954,Outstanding Paper Award,ACL,Outstanding Paper
267740723,Outstanding Paper Award,ACL,Outstanding Paper
269930173,Outstanding Paper Award,ACL,Outstanding Paper
272146859,Outstanding Paper Award,ACL,Outstanding Paper
272336903,Outstanding Paper Award,ACL,Outstanding Paper
270440385,Outstanding Paper Award,ACL,Outstanding Paper
270440385,"SAC Award: Speech recognition, text-to-speech and spoken language understanding",ACL,Area Chair/SAC Award
266174252,Outstanding Paper Award,ACL,Outstanding Paper
266174252,"SAC Award: Ethics, Bias, and Fairness",ACL,Area Chair/SAC Award
264146527,Outstanding Paper Award,ACL,Outstanding Paper
270212785,Best Paper Award,ACL,Best Overall Paper
270212785,SAC Award: Computational Social Science and Cultural Analytics,ACL,Area Chair/SAC Award
264820296,Outstanding Paper Award,ACL,Outstanding Paper
267211965,SAC Award: Efficient/Low-Resource Methods for NLP,ACL,Area Chair/SAC Award
270285574,Best Paper Award,ACL,Best Overall Paper
271909549,Outstanding Paper Award,ACL,Outstanding Paper
271909549,"SAC Award: Sentiment Analysis, Stylistic Analysis, and Argument Mining",ACL,Area Chair/SAC Award
269921492,Outstanding Paper Award,ACL,Outstanding Paper
267364861,Best Resource Paper Award,ACL,Best Thematic/Resource/Impact Paper
267365485,Best Theme Paper Award,ACL,Best Thematic/Resource/Impact Paper
267750465,Outstanding Paper Award,ACL,Outstanding Paper
268358213,Outstanding Paper Award,ACL,Outstanding Paper
267627803,Best Paper Award,ACL,Best Overall Paper
258564774,"SAC Award: Linguistic theories, Cognitive Modeling and Psycholinguistics",ACL,Area Chair/SAC Award
271162816,Outstanding Paper Award,ACL,Outstanding Paper
271516633,Best Resource Paper Award,ACL,Best Thematic/Resource/Impact Paper
266820764,Outstanding Paper Award,ACL,Outstanding Paper
265213060,Outstanding Paper Award,ACL,Outstanding Paper
265213060,SAC Award: Generation,ACL,Area Chair/SAC Award
272336901,Outstanding Paper Award,ACL,Outstanding Paper
266210093,Outstanding Paper Award,ACL,Outstanding Paper
270391485,Outstanding Paper Award,ACL,Outstanding Paper
258865272,Best Social Impact Paper Award,ACL,Best Thematic/Resource/Impact Paper
258832702,Outstanding Paper Award,ACL,Outstanding Paper
269921650,Outstanding Paper Award,ACL,Outstanding Paper
269921650,Outstanding Paper Award,ACL,Outstanding Paper
268230397,Outstanding Paper Award,ACL,Outstanding Paper
268230397,"SAC Award: Phonology, Morphology and Word Segmentation",ACL,Area Chair/SAC Award
268230695,Outstanding Paper Award,ACL,Outstanding Paper
267365100,Outstanding Paper Award,EMNLP,Outstanding Paper
268793780,Outstanding Paper Award,EMNLP,Outstanding Paper
267760101,Best Paper Award,EMNLP,Best Overall Paper
269502502,Outstanding Paper Award,EMNLP,Outstanding Paper
270559936,Outstanding Paper Award,EMNLP,Outstanding Paper
269293024,Resource Paper Award,EMNLP,Best Thematic/Resource/Impact Paper
265213409,Outstanding Paper Award,EMNLP,Outstanding Paper
272827681,Social Impact Paper Award,EMNLP,Best Thematic/Resource/Impact Paper
273186473,Resource Paper Award,EMNLP,Best Thematic/Resource/Impact Paper
272827783,Best Paper Award,EMNLP,Best Overall Paper
273186788,Outstanding Paper Award,EMNLP,Outstanding Paper
270391533,Outstanding Paper Award,EMNLP,Outstanding Paper
270688244,Outstanding Paper Award,EMNLP,Outstanding Paper
270869791,Best Paper Award,EMNLP,Best Overall Paper
269921608,Best Paper Award,EMNLP,Best Overall Paper
269635705,Outstanding Paper Award,EMNLP,Outstanding Paper
272593197,Outstanding Paper Award,EMNLP,Outstanding Paper
271974728,Best Paper Award,EMNLP,Best Overall Paper
270688179,Outstanding Paper Award,EMNLP,Outstanding Paper
270620029,Outstanding Paper Award,EMNLP,Outstanding Paper
273482421,Outstanding Paper Award,EMNLP,Outstanding Paper
270562571,Outstanding Paper Award,EMNLP,Outstanding Paper
271270813,Outstanding Paper Award,EMNLP,Outstanding Paper
273654265,Outstanding Paper Award,EMNLP,Outstanding Paper
273022932,Social Impact Paper Award,EMNLP,Best Thematic/Resource/Impact Paper
273375592,Outstanding Paper Award,EMNLP,Outstanding Paper
270703315,Special Theme Paper Award,EMNLP,Best Thematic/Resource/Impact Paper
273820312,Outstanding Paper Award,EMNLP,Outstanding Paper
269187593,Outstanding Paper Award,EMNLP,Outstanding Paper
268041370,Social Impact Paper Award,EMNLP,Best Thematic/Resource/Impact Paper
273901500,Outstanding Paper Award,EMNLP,Outstanding Paper
271720271,Best Demo Paper Award,EMNLP,Best Demo Paper
263829946,Outstanding Demo Paper Award,EMNLP,Best Demo Paper
202538609,Best Paper Runner-Up,EMNLP,Best Paper Runner-Up
202767426,Best Paper,EMNLP,Best Overall Paper
263883936,Best Resource Paper,EMNLP,Best Thematic/Resource/Impact Paper
202712654,Best Demo paper,EMNLP,Best Demo Paper
457176,Best Paper,ACL,Best Overall Paper
90111,Best Paper,ACL,Best Overall Paper
284436,Best Paper,ACL,Best Overall Paper
11080756,NAACL 2018 Test-of-Time,ACL,Test-of-Time Award
11495042,Best Paper,ACL,Best Overall Paper
1044865,Best Paper,ACL,Best Overall Paper
384994,Best Paper,ACL,Best Overall Paper
160009896,Outstanding Paper,ACL,Outstanding Paper
174798293,Outstanding Paper,ACL,Outstanding Paper
196208241,Outstanding Paper,ACL,Outstanding Paper
196189229,Outstanding Paper,ACL,Outstanding Paper
189999659,Outstanding Paper,ACL,Outstanding Paper
196177554,Best Short Paper,ACL,Best Short Paper
174802848,Best Long Paper,ACL,Best Overall Paper
67856167,Best Demo Paper,ACL,Best Demo Paper
1487550,ACL 2020 Test-of-Time Award (25 years),ACL,Test-of-Time Award
1345,ACL 2022 25-Year Test of Time,ACL,Test-of-Time Award
751575,ACL 2022 25-Year Test of Time,ACL,Test-of-Time Award
2680971,ACL 25-Year Test of Time Paper Award,ACL,Test-of-Time Award
10888973,Best Paper,EMNLP,Best Overall Paper
10888973,NAACL 2018 Test-of-Time Award,EMNLP,Test-of-Time Award
7105713,NAACL 2018 Test-of-Time Award,EMNLP,Test-of-Time Award
1625546,NAACL 2018 Test-of-Time Award,EMNLP,Test-of-Time Award
131773929,Best Explainable NLP Paper,NAACL,Specific Contribution Award
53296520,Best Resource Paper,NAACL,Best Thematic/Resource/Impact Paper
84842989,Best Short Paper,NAACL,Best Short Paper
52967399,Best Long Paper,NAACL,Best Overall Paper
131773759,Best Thematic Paper,NAACL,Best Thematic/Resource/Impact Paper
